title,genre,budget,year,month
Body of Lies,Action,70000000,2008,10
Dinner for Schmucks,Comedy,69000000,2010,7
Abraham Lincoln: Vampire Hunter,Action,69000000,2012,6
Entrapment,Romance,66000000,1999,4
The X Files,,66000000,1998,6
The Last Legion,Action,67000000,2007,4
Saving Private Ryan,Drama,70000000,1998,7
Need for Speed,Action,66000000,2014,3
What Women Want,Comedy,70000000,2000,12
Ice Age,Animation,59000000,2002,3
Dreamcatcher,Drama,68000000,2003,3
Lincoln,,65000000,2012,11
The Matrix,Action,63000000,1999,3
Apollo 13,Drama,52000000,1995,6
The Santa Clause 2,Fantasy,65000000,2002,10
Les Misérables,Drama,61000000,2012,12
You've Got Mail,Comedy,65000000,1998,12
Step Brothers,Comedy,65000000,2008,7
The Mask of Zorro,Action,95000000,1998,7
Due Date,Comedy,65000000,2010,11
Unbroken,Drama,65000000,2014,12
Space Cowboys,Action,65000000,2000,7
Cliffhanger,Action,70000000,1993,5
Broken Arrow,Action,50000000,1996,2
The Kid,Fantasy,65000000,2000,7
World Trade Center,Drama,63000000,2006,8
Mona Lisa Smile,Drama,65000000,2003,12
The Dictator,Comedy,65000000,2012,5
Eyes Wide Shut,,65000000,1999,7
Annie,Comedy,65000000,2014,12
Focus,Romance,50100000,2015,2
This Means War,Action,65000000,2012,2
Blade: Trinity,Science Fiction,65000000,2004,12
Red Dawn,Action,4200000,1984,8
Primary Colors,Comedy,65000000,1998,3
Resident Evil: Retribution,Action,65000000,2012,9
Death Race,Action,45000000,2008,8
The Long Kiss Goodnight,Crime,65000000,1996,10
Proof of Life,Action,65000000,2000,12
Zathura: A Space Adventure,,65000000,2005,11
Fight Club,Drama,63000000,1999,10
We Are Marshall,Drama,65000000,2006,12
Hudson Hawk,Action,65000000,1991,5
Lucky Numbers,Action,65000000,2000,10
"I, Frankenstein",Horror,65000000,2014,1
Oliver Twist,Crime,50000000,2005,9
Elektra,Action,43000000,2005,1
Sin City: A Dame to Kill For,Crime,65000000,2014,8
Random Hearts,Drama,64000000,1999,10
Everest,Adventure,55000000,2015,9
Perfume: The Story of a Murderer,Crime,50000000,2006,9
Austin Powers in Goldmember,Comedy,63000000,2002,7
Astro Boy,Animation,65000000,2009,10
Jurassic Park,Adventure,63000000,1993,6
Wyatt Earp,Drama,63000000,1994,6
Clear and Present Danger,Action,62000000,1994,8
Dragon Blade,Action,65000000,2015,2
Little Man,Comedy,64000000,2006,8
U-571,Action,62000000,2000,4
The American President,Comedy,62000000,1995,11
The Love Guru,Comedy,62000000,2008,6
3000 Miles to Graceland,Action,62000000,2001,2
The Hateful Eight,Crime,44000000,2015,12
Blades of Glory,Action,53000000,2007,3
Hop,Animation,63000000,2011,3
300,Action,65000000,2006,12
Meet the Fockers,Comedy,80000000,2004,12
Marley & Me,Comedy,60000000,2008,12
The Green Mile,Fantasy,60000000,1999,12
Wild Hogs,Action,0,2007,3
Chicken Little,Animation,150000000,2005,11
Gone Girl,,61000000,2014,10
The Bourne Identity,Action,60000000,2002,6
GoldenEye,Adventure,58000000,1995,11
The General's Daughter,Crime,60000000,1999,6
The Truman Show,Comedy,60000000,1998,6
The Prince of Egypt,Adventure,70000000,1998,12
Daddy Day Care,Comedy,60000000,2003,5
2 Guns,Action,61000000,2013,8
Cats & Dogs,Comedy,60000000,2001,7
The Italian Job,Action,60000000,2003,5
Two Weeks Notice,Romance,60000000,2002,12
Antz,Adventure,60000000,1998,10
Couples Retreat,Comedy,70000000,2009,9
Days of Thunder,Adventure,60000000,1990,6
Cheaper by the Dozen 2,Comedy,60000000,2005,12
Maze Runner: The Scorch Trials,Action,61000000,2015,9
Eat Pray Love,Drama,60000000,2010,8
The Family Man,Comedy,60000000,2000,12
RED,Action,58000000,2010,10
Any Given Sunday,Drama,55000000,1999,12
The Horse Whisperer,Drama,60000000,1998,5
Collateral,Drama,65000000,2004,8
The Scorpion King,Action,60000000,2002,4
Ladder 49,Drama,60000000,2004,10
Jack Reacher,Crime,60000000,2012,12
Deep Blue Sea,Action,60000000,1999,7
This Is It,,60000000,2009,10
Contagion,Drama,60000000,2011,9
Kangaroo Jack,Comedy,0,2003,1
Coraline,Animation,60000000,2009,2
The Happening,Thriller,60000000,2008,6
Man on Fire,Action,70000000,2004,4
The Shaggy Dog,Comedy,50000000,2006,3
Starsky & Hutch,Comedy,60000000,2004,3
Jingle All the Way,,60000000,1996,11
Hellboy,Fantasy,66000000,2004,4
A Civil Action,Drama,70000000,1998,3
ParaNorman,,60000000,2012,8
The Jackal,Action,60000000,1997,11
Paycheck,Action,60000000,2003,12
Up Close & Personal,Drama,60000000,1996,3
The Tale of Despereaux,Adventure,60000000,2008,12
The Tuxedo,Thriller,0,2002,9
Under Siege 2: Dark Territory,Action,60000000,1995,7
Jack Ryan: Shadow Recruit,Action,60000000,2014,1
Joy,Drama,60000000,2015,12
London Has Fallen,Action,60000000,2016,3
Alien: Resurrection,Science Fiction,70000000,1997,11
Shooter,Action,61000000,2007,3
The Boxtrolls,Animation,60000000,2014,9
Practical Magic,Drama,75000000,1998,10
The Lego Movie,Adventure,60000000,2014,2
Miss Congeniality 2: Armed and Fabulous,Action,0,2005,3
Reign of Fire,Adventure,60000000,2002,7
Gangster Squad,Crime,60000000,2013,1
Year One,Comedy,60000000,2009,6
Invictus,Drama,60000000,2009,12
State of Play,Action,60000000,2009,4
Duplicity,Romance,78146652,2009,3
My Favorite Martian,Comedy,65000000,1999,2
The Sentinel,Action,60000000,2006,4
Planet 51,Science Fiction,70000000,2009,11
Star Trek: Nemesis,Science Fiction,60000000,2002,12
Intolerable Cruelty,Crime,60000000,2003,9
Trouble with the Curve,Drama,0,2012,9
Edge of Darkness,Crime,80000000,2010,1
The Relic,Horror,60000000,1997,1
Analyze That,Comedy,60000000,2002,12
Righteous Kill,Action,60000000,2008,9
Mercury Rising,Action,60000000,1998,4
The Soloist,Drama,60000000,2009,4
The Legend of Bagger Vance,Fantasy,80000000,2000,11
Almost Famous,Drama,60000000,2000,9
Garfield: A Tail of Two Kitties,Animation,0,2006,6
xXx: State of the Union,Action,60000000,2005,4
Priest,Action,60000000,2011,5
Sinbad: Legend of the Seven Seas,,60000000,2003,7
Event Horizon,Horror,60000000,1997,8
Dragonfly,Drama,60000000,2002,2
The Black Dahlia,Drama,50000000,2006,9
Flyboys,Action,60000000,2006,9
The Last Castle,Action,72000000,2001,10
Supernova,Horror,90000000,2000,1
Winter's Tale,Drama,60000000,2014,2
The Mortal Instruments: City of Bones,Action,60000000,2013,8
Meet Dave,Comedy,60000000,2008,7
Dark Water,Drama,30000000,2005,6
Edtv,Comedy,80000000,1999,3
Inkheart,Adventure,60000000,2008,12
The Spirit,Action,60000000,2008,12
Mortdecai,Comedy,60000000,2015,1
In the Name of the King: A Dungeon Siege Tale,Adventure,60000000,2007,11
Beyond Borders,Drama,35000000,2003,10
The Monkey King 2,Action,68490000,2016,1
The Great Raid,Action,80000000,2005,8
Deadpool,Action,58000000,2016,2
Holy Man,Drama,60000000,1998,10
American Sniper,,58800000,2014,12
Goosebumps,Adventure,58000000,2015,8
Just Like Heaven,Comedy,58000000,2005,9
The Flintstones in Viva Rock Vegas,Science Fiction,83000000,2000,4
Rambo III,Action,63000000,1988,5
Leatherheads,Comedy,58000000,2008,3
The Ridiculous 6,Comedy,60000000,2015,12
Did You Hear About the Morgans?,Comedy,58000000,2009,12
The Internship,Comedy,58000000,2013,6
Resident Evil: Afterlife,Action,60000000,2010,9
Red Tails,Drama,58000000,2012,1
The Devil's Advocate,Drama,57000000,1997,10
That's My Boy,Comedy,70000000,2012,6
DragonHeart,Fantasy,57000000,1996,5
After the Sunset,Action,60000000,2004,11
Ghost Rider: Spirit of Vengeance,Action,57000000,2011,12
Captain Corelli's Mandolin,Drama,57000000,2001,8
The Pacifier,Action,56000000,2005,3
Walking Tall,Adventure,56000000,2004,4
Forrest Gump,Comedy,55000000,1994,7
Alvin and the Chipmunks,Comedy,60000000,2007,12
Meet the Parents,Comedy,55000000,2000,10
Pocahontas,Adventure,55000000,1995,6
Superman,Action,55000000,1978,12
The Nutty Professor,Fantasy,54000000,1996,6
Hitch,Comedy,70000000,2005,2
George of the Jungle,Adventure,55000000,1997,7
American Wedding,Comedy,55000000,2003,8
Captain Phillips,Action,55000000,2013,10
Date Night,Comedy,55000000,2010,4
Casper,Fantasy,50000000,1995,5
The Equalizer,Thriller,55000000,2014,9
Maid in Manhattan,Comedy,55000000,2002,12
Crimson Tide,Action,53000000,1995,5
The Pursuit of Happyness,Drama,55000000,2006,12
Flightplan,Thriller,55000000,2005,9
Disclosure,Drama,55000000,1994,12
City of Angels,Drama,55000000,1998,4
Kill Bill: Vol. 1,Action,30000000,2003,10
Bowfinger,Comedy,55000000,1999,8
Kill Bill: Vol. 2,Action,30000000,2004,4
Tango & Cash,Action,55000000,1989,12
Death Becomes Her,Fantasy,55000000,1992,7
Shanghai Noon,Adventure,55000000,2000,5
Executive Decision,Action,55000000,1996,3
Mr. Popper's Penguins,Comedy,55000000,2011,6
The Forbidden Kingdom,Action,55000000,2008,4
Free Birds,Animation,55000000,2013,10
Alien³,Science Fiction,50000000,1992,5
Evita,,55000000,1996,12
Ronin,Action,55000000,1998,9
The Ghost and the Darkness,Adventure,50000000,1996,10
Paddington,,55000000,2014,11
The Watch,Comedy,68000000,2012,7
The Hunted,Drama,55000000,2003,3
Instinct,Drama,80000000,1999,6
Stuck on You,Comedy,55000000,2003,12
Semi-Pro,Comedy,0,2008,2
The Pirates! In an Adventure with Scientists!,Animation,60000000,2012,3
Changeling,Crime,55000000,2008,1
Chain Reaction,Action,50000000,1996,8
The Fan,Drama,55000000,1996,8
The Phantom of the Opera,Thriller,70000000,2004,12
Elizabeth: The Golden Age,Drama,55000000,2007,9
Æon Flux,Action,62000000,2005,11
Gods and Generals,Drama,56000000,2003,2
Turbulence,Action,55000000,1997,1
Imagine That,Comedy,55000000,2009,6
Muppets Most Wanted,Comedy,50000000,2014,3
Thunderbirds,Action,57000000,2004,7
Burlesque,Drama,55000000,2010,11
A Very Long Engagement,Drama,47000000,2004,10
Lolita,Drama,2000000,1962,6
D-Tox,Action,55000000,2002,1
Blade II,Fantasy,54000000,2002,3
Seven Pounds,Drama,55000000,2008,12
Bullet to the Head,Action,55000000,2013,1
The Godfather: Part III,Crime,54000000,1990,12
Elizabethtown,Comedy,57000000,2005,10
"You, Me and Dupree",Comedy,54000000,2006,7
Superman II,Action,54000000,1980,12
Gigli,Drama,54000000,2003,8
All the King's Men,Drama,55000000,2006,9
Shaft,Action,46000000,2000,6
Anastasia,Animation,53000000,1997,11
Moulin Rouge!,Drama,52500000,2001,3
Domestic Disturbance,,75000000,2001,10
Black Mass,Crime,53000000,2015,9
Flags of Our Fathers,,90000000,2006,10
Law Abiding Citizen,Drama,53000000,2009,10
Grindhouse,Thriller,67000000,2007,4
Beloved,Drama,0,1998,10
Lucky You,Drama,0,2007,5
Catch Me If You Can,Drama,52000000,2002,12
Zero Dark Thirty,Thriller,40000000,2012,12
The Break-Up,Romance,52000000,2006,6
Mamma Mia!,Comedy,52000000,2008,7
Valentine's Day,Comedy,52000000,2010,2
The Dukes of Hazzard,Action,50000000,2005,8
The Thin Red Line,Drama,52000000,1998,12
The Change-Up,Comedy,52000000,2011,8
Man on the Moon,Comedy,82000000,1999,12
Casino,Drama,52000000,1995,11
From Paris with Love,Action,52000000,2010,2
Bulletproof Monk,Action,52000000,2003,3
"Me, Myself & Irene",Comedy,51000000,2000,6
Barnyard,Animation,51000000,2006,8
Deck the Halls,Comedy,0,2006,11
The Twilight Saga: New Moon,Adventure,50000000,2009,3
Shrek,Adventure,60000000,2001,5
The Adjustment Bureau,Science Fiction,50200000,2011,3
Robin Hood: Prince of Thieves,Adventure,48000000,1991,6
Jerry Maguire,Comedy,50000000,1996,12
Ted,Comedy,50000000,2012,6
As Good as It Gets,Comedy,50000000,1997,12
Patch Adams,Comedy,50000000,1998,12
Anchorman 2: The Legend Continues,Comedy,50000000,2013,12
Mr. Deeds,Comedy,50000000,2002,6
Super 8,Thriller,50000000,2011,6
Erin Brockovich,Drama,52000000,2000,3
How to Lose a Guy in 10 Days,Comedy,50000000,2003,2
22 Jump Street,Crime,50000000,2014,6
Interview with the Vampire,Horror,60000000,1994,11
Yes Man,Comedy,70000000,2008,12
Central Intelligence,Action,50000000,2016,6
Stepmom,Drama,0,1998,12
Daddy's Home,Comedy,50000000,2015,12
Into the Woods,Fantasy,50000000,2014,12
Inside Man,Crime,45000000,2006,3
Payback,Drama,90000000,1999,2
Congo,Action,50000000,1995,6
We Bought a Zoo,Drama,50000000,2011,12
Knowing,Action,50000000,2009,3
Failure to Launch,Comedy,50000000,2006,3
The Ring Two,Drama,50000000,2005,3
"Crazy, Stupid, Love.",Comedy,50000000,2011,7
Garfield,Animation,50000000,2004,6
Christmas with the Kranks,Comedy,60000000,2004,11
Moneyball,Drama,50000000,2011,9
Outbreak,Action,50000000,1995,3
Non-Stop,Action,50000000,2014,1
Race to Witch Mountain,Adventure,50000000,2009,3
V for Vendetta,Action,54000000,2006,3
Shanghai Knights,Action,50000000,2003,2
Curious George,Adventure,50000000,2006,2
Herbie Fully Loaded,Comedy,50000000,2005,6
Don't Say a Word,Thriller,50000000,2001,9
Hansel & Gretel: Witch Hunters,Fantasy,50000000,2013,1
Unfaithful,Thriller,50000000,2002,5
I Am Number Four,Action,50000000,2011,2
Syriana,Drama,50000000,2005,11
13 Hours: The Secret Soldiers of Benghazi,Action,50000000,2016,1
The Book of Life,Romance,50000000,2014,10
Firewall,Thriller,45000000,2006,2
Absolute Power,Crime,50000000,1997,2
G.I. Jane,Action,50000000,1997,8
The Game,Drama,50000000,1997,9
Silent Hill,Horror,50000000,2006,4
The Replacements,Comedy,0,2000,8
American Reunion,Comedy,50000000,2012,4
The Negotiator,Action,50000000,1998,7
Into the Storm,Action,50000000,2014,8
Beverly Hills Cop III,Action,50000000,1994,5
Gremlins 2: The New Batch,Comedy,50000000,1990,6
The Judge,Drama,50000000,2014,10
The Peacemaker,Action,50000000,1997,9
Resident Evil: Apocalypse,Horror,45000000,2004,9
Bridget Jones: The Edge of Reason,Comedy,50000000,2004,11
Out of Time,Thriller,50000000,2003,10
On Deadly Ground,Action,50000000,1994,2
The Adventures of Sharkboy and Lavagirl,Adventure,50000000,2005,6
The Beach,Drama,40000000,2000,2
Raising Helen,Drama,50000000,2004,5
Ninja Assassin,Action,40000000,2009,9
For Love of the Game,Drama,50000000,1999,9
Striptease,Drama,50000000,1996,6
Marmaduke,,50000000,2010,6
Hereafter,Drama,50000000,2010,10
Murder by Numbers,Crime,50000000,2002,4
Assassins,Action,50000000,1995,10
Hannibal Rising,Crime,50000000,2007,2
The Story of Us,Comedy,50000000,1999,10
The Host,Action,44000000,2013,3
Basic,Action,50000000,2003,4
Blood Work,Crime,50000000,2002,8
The International,Drama,50000000,2009,2
Escape from L.A.,Action,50000000,1996,8
The Iron Giant,Adventure,70000000,1999,8
The Life Aquatic with Steve Zissou,Adventure,50000000,2004,12
Free State of Jones,,50000000,2016,6
The Life of David Gale,Drama,50000000,2003,2
Man of the House,Comedy,40000000,2005,2
Run All Night,Action,50000000,2015,3
Eastern Promises,Thriller,51500000,2007,9
Into the Blue,Action,50000000,2005,9
The Messenger: The Story of Joan of Arc,Adventure,60000000,1999,10
Your Highness,Comedy,49900000,2011,4
Dream House,Drama,50000000,2011,9
Mad City,Action,50000000,1997,11
Baby's Day Out,Action,50000000,1994,7
The Scarlet Letter,Drama,50000000,1995,10
Fair Game,Drama,22000000,2010,5
Domino,Action,50000000,2005,9
Jade,Action,50000000,1995,10
Gamer,Action,50000000,2009,9
Beautiful Creatures,Fantasy,60000000,2013,2
Death to Smoochy,Comedy,55000000,2002,3
Zoolander 2,Comedy,50000000,2016,2
The Big Bounce,Comedy,50000000,2004,1
What Planet Are You From?,Comedy,60000000,2000,3
Drive Angry,Fantasy,50000000,2011,2
Street Fighter: The Legend of Chun-Li,Action,50000000,2009,2
The One,Action,49000000,2001,11
The Adventures of Ford Fairlane,Action,49000000,1990,7
The Boat That Rocked,Drama,50000000,2009,4
Traffic,Thriller,48000000,2000,12
Indiana Jones and the Last Crusade,Adventure,48000000,1989,5
Anna Karenina,Drama,0,2012,9
Chappie,Crime,49000000,2015,3
The Bone Collector,Drama,73000000,1999,11
Panic Room,Crime,48000000,2002,3
The Tooth Fairy,Horror,0,2006,8
Three Kings,Action,75000000,1999,9
Child 44,Crime,50000000,2015,3
Rat Race,Adventure,48000000,2001,7
K-PAX,Drama,48000000,2001,10
Kate & Leopold,Comedy,0,2001,12
Bedazzled,Fantasy,48000000,2000,10
The Cotton Club,,58000000,1984,12
3:10 to Yuma,,55000000,2007,9
Taken 3,Thriller,48000000,2014,12
Out of Sight,Romance,48000000,1998,6
The Cable Guy,Comedy,47000000,1996,6
Earth,Drama,0,1998,9
Dick Tracy,Adventure,47000000,1990,6
The Thomas Crown Affair,Drama,48000000,1999,8
Riding in Cars with Boys,Comedy,48000000,2001,10
First Blood,Action,15000000,1982,10
Solaris,Drama,0,1972,3
Happily N'Ever After,Animation,47000000,2006,9
Mary Reilly,Drama,47000000,1996,2
My Best Friend's Wedding,Comedy,38000000,1997,6
America's Sweethearts,Comedy,0,2001,7
Insomnia,Crime,46000000,2002,5
Star Trek: First Contact,Science Fiction,46000000,1996,11
Jonah Hex,Action,47000000,2010,6
Courage Under Fire,Drama,46000000,1996,7
Liar Liar,Comedy,45000000,1997,3
The Infiltrator,Crime,25000000,2016,7
Inchon,Drama,46000000,1981,5
The Flintstones,Fantasy,46000000,1994,5
Taken 2,Action,45000000,2012,9
Scary Movie 3,Comedy,48000000,2003,10
Miss Congeniality,Comedy,45000000,2000,12
Journey to the Center of the Earth,Action,45000000,2008,7
The Princess Diaries 2: Royal Engagement,Comedy,40000000,2004,8
The Pelican Brief,Drama,45000000,1993,12
The Client,Drama,45000000,1994,7
The Bucket List,Drama,45000000,2007,12
Patriot Games,Drama,45000000,1992,6
Monster-in-Law,Romance,43000000,2005,5
Prisoners,Drama,46000000,2013,9
Training Day,Action,45000000,2001,10
Galaxy Quest,Comedy,45000000,1999,12
Scary Movie 2,Comedy,45000000,2001,7
The Muppets,Comedy,45000000,2011,11
Blade,Horror,45000000,1998,8
Coach Carter,Drama,30000000,2005,1
Changing Lanes,Action,45000000,2002,4
Anaconda,Adventure,45000000,1997,4
Coyote Ugly,Comedy,45000000,2000,7
Love Actually,Comedy,40000000,2003,9
A Bug's Life,Adventure,120000000,1998,11
From Hell,Horror,35000000,2001,10
The Specialist,Action,45000000,1994,10
Tin Cup,Comedy,45000000,1996,8
"Yours, Mine and Ours",Comedy,0,1968,4
Kicking & Screaming,Romance,45000000,2005,5
The Hitchhiker's Guide to the Galaxy,Adventure,50000000,2005,1
Fat Albert,Comedy,0,2004,12
Resident Evil: Extinction,Horror,45000000,2007,9
Blended,Comedy,40000000,2014,5
Last Holiday,Adventure,45000000,2006,1
The River Wild,Action,45000000,1994,9
The Indian in the Cupboard,Adventure,45000000,1995,7
Savages,Crime,45000000,2012,7
Cellular,Action,25000000,2004,9
Johnny English,Adventure,40000000,2003,4
The Ant Bully,Fantasy,50000000,2006,7
Dune,Action,40000000,1984,12
Across the Universe,Adventure,0,2007,9
Revolutionary Road,Drama,35000000,2008,12
16 Blocks,Action,55000000,2006,3
Babylon A.D.,Action,70000000,2008,8
The Glimmer Man,Action,45000000,1996,10
Multiplicity,Comedy,45000000,1996,7
Aliens in the Attic,Adventure,45000000,2009,7
The Pledge,Crime,35000000,2001,1
The Producers,Comedy,45000000,2005,12
The Phantom,Adventure,45000000,1996,6
All the Pretty Horses,Drama,57000000,2000,12
Nixon,,44000000,1995,12
The Ghost Writer,Thriller,45000000,2010,2
Deep Rising,Adventure,45000000,1998,1
Miracle at St. Anna,Drama,45000000,2008,9
Curse of the Golden Flower,Action,110,2006,12
Bangkok Dangerous,Action,45000000,2008,8
Big Trouble,Action,40000000,2002,4
Love in the Time of Cholera,Drama,45000000,2007,10
Shadow Conspiracy,Action,45000000,1997,1
Johnny English Reborn,Crime,45000000,2011,9
Foodfight!,Animation,65000000,2012,6
Argo,Drama,44500000,2012,10
The Fugitive,Adventure,44000000,1993,8
The Bounty Hunter,Action,40000000,2010,3
Sleepers,Crime,44000000,1996,10
Rambo: First Blood Part II,Action,44000000,1985,5
The Juror,Drama,44000000,1996,2
Pinocchio,Animation,2600000,1940,2
Heaven's Gate,Action,44000000,1980,11
Underworld: Evolution,Fantasy,50000000,2006,1
Victor Frankenstein,Drama,40000000,2015,11
Finding Forrester,Drama,43000000,2000,12
28 Days,Comedy,43000000,2000,4
Unleashed,Action,45000000,2005,2
The Sweetest Thing,Romance,43000000,2002,4
The Firm,Drama,42000000,1993,6
Charlie St. Cloud,Drama,44000000,2010,5
The Mechanic,Action,40000000,2011,1
21 Jump Street,Action,42000000,2012,3
Notting Hill,Romance,42000000,1999,5
Chicken Run,Animation,45000000,2000,6
Along Came Polly,Comedy,42000000,2004,1
Boomerang,Comedy,40000000,1992,6
The Heat,Action,43000000,2013,6
Cleopatra,Drama,31115000,1963,6
Here Comes the Boom,Comedy,0,2012,10
High Crimes,Drama,42000000,2002,4
The Mirror Has Two Faces,Comedy,42000000,1996,11
The Mothman Prophecies,Drama,32000000,2002,1
Brüno,Comedy,42000000,2009,7
Licence to Kill,Adventure,32000000,1989,7
Red Riding Hood,Fantasy,42000000,2011,3
15 Minutes,Action,60000000,2001,3
Super Mario Bros.,Adventure,48000000,1993,5
Lord of War,Crime,42000000,2005,9
Hero,Drama,31000000,2002,12
One for the Money,Action,40000000,2012,1
The Interview,Action,44000000,2014,12
The Warrior's Way,Adventure,42000000,2010,12
Micmacs,Action,33000000,2009,10
8 Mile,Drama,41000000,2002,11
Why I Did (Not) Eat My Father,Adventure,0,2015,4
A Knight's Tale,Adventure,65000000,2001,5
The Medallion,Thriller,41000000,2003,8
The Sixth Sense,,40000000,1999,8
Man on a Ledge,Action,42000000,2012,1
The Big Year,Comedy,41000000,2011,10
The Karate Kid,Drama,8000000,1984,6
American Hustle,Drama,40000000,2013,12
The Proposal,Comedy,40000000,2009,6
Double Jeopardy,Crime,70000000,1999,9
Back to the Future Part II,Adventure,40000000,1989,11
Lucy,Action,40000000,2014,7
Fifty Shades of Grey,Drama,40000000,2015,2
Spy Kids 3-D: Game Over,Action,38000000,2003,7
A Time to Kill,Crime,40000000,1996,7
Cheaper by the Dozen,Comedy,40000000,2003,12
Lone Survivor,Action,40000000,2013,12
A League of Their Own,Comedy,40000000,1992,7
The Conjuring 2,Horror,40000000,2016,5
The Social Network,Drama,40000000,2010,9
He's Just Not That Into You,Comedy,40000000,2009,2
Scary Movie 4,Comedy,45000000,2006,4
Scream 3,Horror,40000000,2000,2
Back to the Future Part III,Adventure,40000000,1990,5
Get Hard,Comedy,40000000,2015,3
Dracula,Romance,40000000,1992,11
Julie & Julia,Romance,40000000,2009,8
42,Drama,40000000,2013,4
The Talented Mr. Ripley,Thriller,40000000,1999,12
Dumb and Dumber To,Comedy,40000000,2014,11
Eight Below,Adventure,40000000,2006,2
The Intern,Comedy,35000000,2015,9
Ride Along 2,Action,40000000,2016,1
The Last of the Mohicans,Action,40000000,1992,9
Ray,Drama,40000000,2004,10
Sin City,Action,40000000,2005,4
Vantage Point,Drama,40000000,2008,2
"I Love You, Man",Comedy,41000000,2009,3
Shallow Hal,Comedy,40000000,2001,11
JFK,Drama,40000000,1991,12
Big Momma's House 2,Comedy,40000000,2006,1
The Mexican,Action,57000000,2001,3
17 Again,Comedy,20000000,2009,3
The Other Woman,Comedy,40000000,2014,4
The Final Destination,Horror,40000000,2009,8
Bridge of Spies,Thriller,40000000,2015,10
Behind Enemy Lines,Action,40000000,2001,11
Get Him to the Greek,Comedy,40000000,2010,6
Shall We Dance?,Drama,50000000,2004,10
Small Soldiers,Comedy,40000000,1998,7
Spawn,Action,40000000,1997,7
The Count of Monte Cristo,Action,35000000,2002,1
The Lincoln Lawyer,Crime,40000000,2011,3
Unknown,Action,30000000,2011,2
The Prestige,Drama,40000000,2006,10
Horrible Bosses 2,Comedy,42000000,2014,11
Escape from Planet Earth,Animation,40000000,2013,2
Apocalypto,Action,40000000,2006,12
The Living Daylights,Action,40000000,1987,6
Predators,Action,40000000,2010,7
Legal Eagles,Comedy,0,1986,6
Secret Window,Thriller,40000000,2004,3
The Lake House,Romance,40000000,2006,6
The Skeleton Key,Drama,43000000,2005,7
The Odd Life of Timothy Green,Fantasy,0,2012,8
Made of Honor,Comedy,40000000,2008,5
Jersey Boys,,40000000,2014,6
The Rainmaker,Drama,40000000,1997,11
Gothika,Horror,40000000,2003,11
Amistad,Drama,36000000,1997,12
Medicine Man,Adventure,40000000,1992,2
Aliens vs Predator: Requiem,Fantasy,40000000,2007,12
Ri¢hie Ri¢h,Comedy,40000000,1994,12
Autumn in New York,Drama,65000000,2000,8
Music and Lyrics,Comedy,40000000,2007,2
Paul,Adventure,40000000,2011,2
The Guilt Trip,Comedy,40000000,2012,12
Scream 4,Horror,40000000,2011,4
8MM,Thriller,40000000,1999,2
The Doors,Drama,38000000,1991,3
Sex Tape,Comedy,40000000,2014,7
Hanging Up,Comedy,40000000,2000,2
Final Destination 5,Horror,47000000,2011,8
Mickey Blue Eyes,Comedy,0,1999,8
Pay It Forward,Drama,40000000,2000,10
Fever Pitch,Comedy,30000000,2005,4
Drillbit Taylor,Comedy,40000000,2008,3
A Million Ways to Die in the West,Comedy,0,2014,5
The Shadow,Adventure,25000000,1994,7
Extremely Loud & Incredibly Close,Drama,40000000,2011,12
Morning Glory,Comedy,40000000,2010,1
Get Rich or Die Tryin',Drama,40000000,2005,11
The Art of War,Crime,40000000,2000,8
Rent,Drama,40000000,2005,11
Bless the Child,Drama,40000000,2000,8
The Out-of-Towners,Comedy,75000000,1999,4
The Island of Dr. Moreau,Fantasy,40000000,1996,8
The Musketeer,Action,40000000,2001,9
The Other Boleyn Girl,Drama,35000000,2008,2
Sweet November,Drama,40000000,2001,2
The Reaping,Horror,40000000,2007,4
Mean Streets,Drama,500000,1973,10
Renaissance Man,Comedy,40000000,1994,6
Colombiana,Action,40000000,2011,7
Quest for Camelot,Fantasy,40000000,1998,5
City By The Sea,Crime,40000000,2002,9
At First Sight,Drama,0,1999,1
Torque,Action,40000000,2004,1
City Hall,Drama,0,1996,2
Showgirls,Drama,45000000,1995,9
Marie Antoinette,Drama,40000000,2006,5
Kiss of Death,Action,40000000,1995,4
Get Carter,Action,63600000,2000,10
The Impossible,Thriller,42000000,2012,9
Ishtar,Action,55000000,1987,5
Fantastic Mr. Fox,Adventure,40000000,2009,10
Life or Something Like It,Comedy,40000000,2002,4
Memoirs of an Invisible Man,Comedy,40000000,1992,2
Amélie,Comedy,10000000,2001,4
New York Minute,Comedy,0,2004,5
Alfie,Comedy,60000000,2004,10
Big Miracle,Adventure,40000000,2012,2
The Deep End of the Ocean,Drama,38000000,1999,3
FearDotCom,Horror,40000000,2002,8
Cirque du Freak: The Vampire's Assistant,Adventure,40000000,2009,10
Duplex,Action,40000000,2003,9
Soul Men,Comedy,0,2008,11
Raise the Titanic,Action,0,1980,1
Universal Soldier: The Return,Action,45000000,1999,8
Pandorum,Action,33000000,2009,9
Impostor,Action,40000000,2001,12
Extreme Ops,Action,40000000,2002,11
Just Visiting,Comedy,0,2001,4
Sunshine,Science Fiction,50000000,2007,4
A Thousand Words,Drama,40000000,2012,3
Delgo,Adventure,40000000,2008,12
The Gunman,Action,40000000,2015,2
Stormbreaker,Adventure,40000000,2006,7
Disturbia,Thriller,20000000,2007,4
Hackers,Action,20000000,1995,9
The Hunting Party,Action,0,2007,9
The Hudsucker Proxy,Comedy,30000000,1994,3
