title,genre,budget,year,month
The Wolfman,Drama,150000000,2010,2
Bee Movie,,150000000,2007,10
Kung Fu Panda 2,Animation,150000000,2011,5
The Last Airbender,Action,150000000,2010,6
Mission: Impossible III,Adventure,150000000,2006,5
White House Down,Action,150000000,2013,6
Mars Needs Moms,Adventure,150000000,2011,3
Flushed Away,Adventure,149000000,2006,10
Pan,Adventure,150000000,2015,9
Mr. Peabody & Sherman,Animation,145000000,2014,2
Troy,Adventure,175000000,2004,5
Madagascar 3: Europe's Most Wanted,Animation,145000000,2012,6
Die Another Day,Adventure,140000000,2002,11
Ghostbusters,Action,144000000,2016,7
Armageddon,Action,140000000,1998,7
Men in Black II,Action,140000000,2002,7
Beowulf,Adventure,70000000,2007,11
Kung Fu Panda 3,Action,145000000,2016,1
Mission: Impossible - Ghost Protocol,Action,145000000,2011,12
Rise of the Guardians,Fantasy,145000000,2012,11
Fun with Dick and Jane,Comedy,100000000,2005,12
The Last Samurai,Drama,140000000,2003,12
Exodus: Gods and Kings,Adventure,140000000,2014,12
Star Trek,Science Fiction,150000000,2009,5
Spider-Man,Fantasy,139000000,2002,5
How to Train Your Dragon 2,Fantasy,145000000,2014,6
Gods of Egypt,Fantasy,140000000,2016,2
Stealth,Action,135000000,2005,7
Watchmen,Action,130000000,2009,3
Lethal Weapon 4,Action,140000000,1998,7
Hulk,Drama,137000000,2003,6
G.I. Joe: Retaliation,Adventure,130000000,2013,3
Sahara,Action,130000000,2005,4
Final Fantasy: The Spirits Within,Adventure,137000000,2001,7
Captain America: The First Avenger,Action,140000000,2011,7
The World Is Not Enough,Adventure,135000000,1999,11
Master and Commander: The Far Side of the World,Adventure,150000000,2003,11
The Twilight Saga: Breaking Dawn - Part 2,Adventure,120000000,2012,11
Happy Feet Two,Animation,130000000,2011,11
The Incredible Hulk,Science Fiction,150000000,2008,6
The BFG,Adventure,140000000,2016,6
The Revenant,,135000000,2015,12
Turbo,Animation,135000000,2013,7
Rango,Animation,135000000,2011,3
Penguins of Madagascar,,132000000,2014,11
The Bourne Ultimatum,Action,70000000,2007,8
Kung Fu Panda,Adventure,130000000,2008,6
Ant-Man,Science Fiction,130000000,2015,7
The Hunger Games: Catching Fire,Adventure,130000000,2013,11
Home,Fantasy,135000000,2015,3
War of the Worlds,Adventure,132000000,2005,6
Bad Boys II,Adventure,130000000,2003,7
Puss in Boots,Action,130000000,2011,10
Salt,Action,110000000,2010,7
Noah,Drama,125000000,2014,3
The Adventures of Tintin,Adventure,130000000,2011,10
Harry Potter and the Prisoner of Azkaban,Adventure,130000000,2004,5
Australia,Drama,130000000,2008,11
After Earth,Science Fiction,130000000,2013,5
Dinosaur,Animation,127500000,2000,5
Night at the Museum: Secret of the Tomb,Adventure,127000000,2014,12
Megamind,Animation,130000000,2010,10
Harry Potter and the Philosopher's Stone,Adventure,125000000,2001,11
R.I.P.D.,Fantasy,130000000,2013,7
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,140000000,2003,7
The Hunger Games: Mockingjay - Part 1,Science Fiction,125000000,2014,11
The Da Vinci Code,Thriller,125000000,2006,5
Rio 2,Animation,103000000,2014,3
X2,Adventure,110000000,2003,4
Fast Five,Action,125000000,2011,4
Sherlock Holmes: A Game of Shadows,Adventure,125000000,2011,11
Clash of the Titans,Adventure,125000000,2010,4
Total Recall,Action,65000000,1990,6
The 13th Warrior,Adventure,160000000,1999,8
The Bourne Legacy,Action,130000000,2012,8
Batman & Robin,Action,125000000,1997,6
How the Grinch Stole Christmas,,123000000,2000,11
The Day After Tomorrow,Action,125000000,2004,5
Mission: Impossible II,Adventure,125000000,2000,5
The Perfect Storm,Drama,120000000,2000,3
Fantastic 4: Rise of the Silver Surfer,Adventure,130000000,2007,6
Life of Pi,Adventure,120000000,2012,11
Ghost Rider,Thriller,110000000,2007,2
Jason Bourne,Action,120000000,2016,7
Charlie's Angels: Full Throttle,Action,120000000,2003,6
Prometheus,Science Fiction,130000000,2012,5
Stuart Little 2,,120000000,2002,7
Elysium,Science Fiction,115000000,2013,8
The Chronicles of Riddick,Action,105000000,2004,6
RoboCop,Action,120000000,2014,1
Speed Racer,Action,120000000,2008,5
How Do You Know,Comedy,120000000,2010,12
Knight and Day,Action,117000000,2010,6
Oblivion,Action,120000000,2013,4
Star Wars: Episode III - Revenge of the Sith,Science Fiction,113000000,2005,5
Star Wars: Episode II - Attack of the Clones,Adventure,120000000,2002,5
"Monsters, Inc.",Animation,115000000,2001,11
The Wolverine,Action,120000000,2013,7
Star Wars: Episode I - The Phantom Menace,Adventure,115000000,1999,5
The Croods,Adventure,135000000,2013,3
Asterix at the Olympic Games,Fantasy,97250400,2008,1
Windtalkers,Drama,115000000,2002,6
The Huntsman: Winter's War,Action,115000000,2016,4
Teenage Mutant Ninja Turtles,Science Fiction,125000000,2014,8
Gravity,Science Fiction,105000000,2013,9
Dante's Peak,Action,116000000,1997,2
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy,135000000,2016,6
Fantastic Four,Action,120000000,2015,8
Night at the Museum,Action,110000000,2006,10
San Andreas,Action,110000000,2015,5
Tomorrow Never Dies,Adventure,110000000,1997,12
The Patriot,Drama,110000000,2000,6
Ocean's Twelve,Thriller,110000000,2004,12
Mr. & Mrs. Smith,Action,110000000,2005,6
Insurgent,Adventure,110000000,2015,3
The Aviator,Drama,116000000,2004,12
Gulliver's Travels,Comedy,112000000,2010,12
The Green Hornet,Action,120000000,2011,1
300: Rise of an Empire,Action,110000000,2014,3
The Smurfs,Animation,110000000,2011,7
Home on the Range,Animation,110000000,2004,4
Allegiant,Adventure,110000000,2016,3
Real Steel,Action,110000000,2011,9
The Smurfs 2,Fantasy,105000000,2013,7
Speed 2: Cruise Control,Action,160000000,1997,6
Ender's Game,Science Fiction,110000000,2013,10
Live Free or Die Hard,Action,110000000,2007,6
The Lord of the Rings: The Fellowship of the Ring,Adventure,93000000,2001,12
Around the World in 80 Days,Action,110000000,2004,6
Ali,Drama,107000000,2001,12
The Cat in the Hat,Comedy,0,2003,11
"I, Robot",Action,120000000,2004,7
Kingdom of Heaven,Drama,130000000,2005,5
Stuart Little,Animation,133000000,1999,12
The Princess and the Frog,Romance,105000000,2009,12
The Martian,Drama,108000000,2015,9
The Island,Action,126000000,2005,7
Town & Country,Comedy,90000000,2001,4
Gone in Sixty Seconds,Action,90000000,2000,6
Gladiator,Action,103000000,2000,5
Minority Report,Action,102000000,2002,6
Harry Potter and the Chamber of Secrets,Adventure,100000000,2002,11
Casino Royale,Adventure,150000000,2006,11
Planet of the Apes,Thriller,100000000,2001,7
Terminator 2: Judgment Day,Action,100000000,1991,7
Public Enemies,,80000000,2009,7
American Gangster,Drama,100000000,2007,11
True Lies,Action,115000000,1994,7
The Taking of Pelham 1 2 3,Thriller,100000000,2009,6
Little Fockers,Comedy,100000000,2010,12
The Other Guys,Action,100000000,2010,8
Eraser,Action,100000000,1996,6
Django Unchained,Drama,100000000,2012,12
The Hunchback of Notre Dame,Drama,100000000,1996,6
The Emperor's New Groove,Adventure,100000000,2000,12
The Expendables 2,Action,100000000,2012,8
National Treasure,Adventure,100000000,2004,11
Eragon,Fantasy,100000000,2006,12
Where the Wild Things Are,,100000000,2009,10
